zip,latitude,longitude
36830,32.5475,-85.4682
72301,35.1484,-90.1779
10001,40.7484,-73.9967
85373,33.6588,-112.3214
85225,33.3105,-111.8239
85212,33.3425,-111.6353
85248,33.2509,-111.8593
85374,33.63,-112.3314
85234,33.3527,-111.7809
85251,33.4936,-111.9167
85037,33.4913,-112.2468
85085,33.7529,-112.0893
85254,33.6165,-111.9554
85027,33.6819,-112.0996
85050,33.6863,-111.9963
85303,33.5262,-112.2149
85210,33.3887,-111.8428
85335,33.6082,-112.3241
85382,33.6308,-112.2072
85388,33.6134,-112.4512
85383,33.7169,-112.238
85008,33.4665,-111.9984
85281,33.4227,-111.9261
85283,33.3665,-111.9312
85016,33.5021,-112.0305
85260,33.6013,-111.8867
85326,33.3703,-112.5838
85392,33.4777,-112.3093
85305,33.5291,-112.2482
85053,33.6299,-112.1316
85266,33.7669,-111.9182
85396,33.468,-112.4787
85024,33.6617,-112.037
85044,33.3291,-111.9943
85206,33.4026,-111.7242
85224,33.3301,-111.8632
85340,33.5098,-112.4135
85297,33.2781,-111.7096
85323,33.4321,-112.3438
85029,33.5961,-112.1199
85255,33.6968,-111.8892
85226,33.3092,-111.9198
85353,33.4347,-112.2774
85032,33.6238,-112.0044
85142,33.2487,-111.6343
85301,33.5311,-112.1767
85331,33.8851,-111.9349
85253,33.5494,-111.9565
85375,33.6856,-112.3659
85249,33.2414,-111.7745
85233,33.3354,-111.8153
85207,33.4321,-111.6426
85296,33.3354,-111.7406
85087,33.9235,-112.1279
85351,33.6061,-112.2797
85339,33.3436,-112.1716
85262,33.7752,-111.7791
85018,33.4958,-111.9883
85308,33.6539,-112.1694
85259,33.5879,-111.8404
85208,33.3984,-111.6513
85355,33.5673,-112.4387
85345,33.5761,-112.2344
85381,33.6048,-112.2237
85042,33.3794,-112.0283
85395,33.479,-112.3947
85390,33.8944,-112.8603
85202,33.3851,-111.8724
85379,33.6021,-112.3736
85338,33.4368,-112.3834
85203,33.437,-111.8057
85017,33.5153,-112.1212
85035,33.4724,-112.1832
85201,33.4317,-111.8469
85268,33.6085,-111.7237
85028,33.5851,-112.0087
85021,33.56,-112.0927
85003,33.4511,-112.0774
85304,33.5943,-112.1746
85302,33.5675,-112.1753
85205,33.4368,-111.7129
85040,33.4061,-112.0265
85022,33.6315,-112.052
85020,33.5623,-112.0559
85023,33.6324,-112.1118
85387,33.7129,-112.4375
85009,33.4564,-112.1284
85086,33.8155,-112.1202
85250,33.5218,-111.9049
85213,33.4367,-111.7731
85310,33.7047,-112.1641
85284,33.3363,-111.9197
85282,33.3917,-111.9249
85204,33.3992,-111.7896
85015,33.5082,-112.1011
85051,33.5591,-112.1332
85215,33.4707,-111.7188
85043,33.4491,-112.1972
85306,33.6239,-112.1776
85048,33.316,-112.0669
85258,33.5647,-111.8931
85004,33.4557,-112.0686
85041,33.3889,-112.0954
85257,33.4669,-111.9151
85377,33.824,-111.913
85014,33.5103,-112.0556
85012,33.5097,-112.0678
85034,33.4413,-112.0421
85264,33.6118,-111.6806
85307,33.5376,-112.3137
85263,33.7225,-111.6757
85006,33.465,-112.0474
85033,33.4944,-112.2132
85363,33.5908,-112.3013
85354,33.4228,-112.9528
85013,33.5085,-112.0827
85054,33.6731,-111.9461
85045,33.3022,-112.1226
85019,33.5123,-112.1417
85007,33.4523,-112.0893
85031,33.4939,-112.1696
85361,33.7637,-112.6142
85083,33.7352,-112.1294
85750,32.2974,-110.8404
85298,33.2522,-111.7022
85295,33.3054,-111.7408
85704,32.3379,-110.9855
85711,32.2127,-110.8829
85716,32.2468,-110.9222
85713,32.1941,-110.9739
85629,31.9452,-111.0002
85712,32.25,-110.8869
85653,32.4047,-111.2736
85714,32.1707,-110.9719
85749,32.2733,-110.7658
85718,32.3112,-110.9179
85286,33.2711,-111.8311
85706,32.1392,-110.9451
85641,32.0027,-110.7053
85710,32.2138,-110.824
85209,33.3782,-111.6406
85743,32.3366,-111.1771
85741,32.3472,-111.0419
85747,32.0984,-110.7272
85622,31.8269,-111.0755
85735,32.093,-111.3472
85719,32.2474,-110.9491
85748,32.215,-110.7758
85737,32.4142,-110.9466
85746,32.1422,-111.0506
85705,32.2691,-110.9845
85739,32.465,-110.8922
85745,32.2434,-111.0179
85742,32.4076,-111.065
85756,32.0839,-110.9004
85755,32.4227,-110.9768
85701,32.2139,-110.9694
85715,32.2519,-110.82
85614,31.8543,-111.0003
85757,32.1336,-111.0973
85730,32.181,-110.819
85708,32.18,-110.8693
85658,32.4305,-111.1459
85256,33.4858,-111.8533
85342,33.8567,-112.6232
85378,33.6306,-112.3332
10457,40.8486,-73.8999
10138,40.7808,-73.9772
91913,32.6513,-116.9852
92122,32.8577,-117.2115
92124,32.8201,-117.0986
91942,32.7835,-117.0189
92123,32.7973,-117.1392
92075,32.9937,-117.2598
92139,32.6806,-117.0474
92103,32.7466,-117.1636
92105,32.7423,-117.0947
92037,32.8455,-117.2521
91915,32.6315,-116.9408
92118,32.6807,-117.1698
92107,32.7425,-117.2433
92101,32.7185,-117.1593
92102,32.7139,-117.1219
92154,32.5753,-117.0707
92106,32.7272,-117.2268
91950,32.6749,-117.0897
92129,32.9652,-117.1213
92019,32.7777,-116.9191
92108,32.7783,-117.1335
92130,32.9555,-117.2252
92127,33.0279,-117.0856
92056,33.1968,-117.2831
91911,32.6084,-117.0565
92113,32.697,-117.1153
92126,32.9161,-117.1402
91945,32.7332,-117.0326
92020,32.7928,-116.9665
91932,32.5783,-117.1148
92104,32.7454,-117.1272
91978,32.7329,-116.9596
91910,32.6371,-117.0676
92111,32.7972,-117.1708
92092,32.8473,-117.2742
92093,32.8473,-117.2742
91941,32.7604,-117.0115
92120,32.7958,-117.0707
92024,33.0535,-117.2689
92067,33.005,-117.2157
92110,32.7635,-117.2028
92131,32.9123,-117.0898
92119,32.8036,-117.0261
92116,32.7624,-117.1242
92069,33.1444,-117.1697
92109,32.7969,-117.2405
92054,33.2072,-117.3573
92071,32.8486,-116.9862
92064,32.9756,-117.0402
92008,33.1602,-117.325
92029,33.0895,-117.1128
92078,33.1193,-117.185
92114,32.7059,-117.0524
92115,32.7607,-117.0721
92014,32.9665,-117.249
92128,33.0067,-117.069
92009,33.0954,-117.2619
92026,33.1605,-117.0978
33160,25.9449,-80.1391
10014,40.7339,-74.0054
11201,40.694,-73.9903
92040,32.8562,-116.9201
92021,32.8178,-116.9223
92007,33.023,-117.2745
91902,32.6671,-117.0221
92010,33.1639,-117.3009
92117,32.8239,-117.1965
92025,33.1101,-117.07
91914,32.6587,-116.9652
92173,32.5626,-117.043
11238,40.679,-73.9644
90014,34.0443,-118.2509
91604,34.143,-118.3913
90740,33.7602,-118.0808
90210,34.0901,-118.4065
90211,34.0652,-118.383
90255,33.9769,-118.2161
92656,33.5701,-117.7086
93535,34.7131,-117.8783
95825,38.5892,-121.4057
94103,37.7725,-122.4147
91701,34.1376,-117.5999
90028,34.1005,-118.3254
90403,34.0287,-118.4924
94619,37.7878,-122.1884
90048,34.0737,-118.372
91977,32.724,-116.9976
90731,33.7339,-118.2914
90805,33.8635,-118.1801
